timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], temperature.gpu
2026/06/25 16:04:45.681, 0 %, 0 %, 3575 MiB, 58
2026/06/25 16:04:45.783, 0 %, 0 %, 3575 MiB, 58
2026/06/25 16:04:45.885, 0 %, 0 %, 3575 MiB, 58
2026/06/25 16:04:45.987, 0 %, 0 %, 3575 MiB, 58
2026/06/25 16:04:46.090, 0 %, 0 %, 3575 MiB, 58
2026/06/25 16:04:46.192, 0 %, 0 %, 3575 MiB, 56
2026/06/25 16:04:46.294, 0 %, 0 %, 3575 MiB, 56
2026/06/25 16:04:46.397, 0 %, 0 %, 3575 MiB, 56
2026/06/25 16:04:46.499, 0 %, 0 %, 3575 MiB, 56
2026/06/25 16:04:46.601, 0 %, 0 %, 3575 MiB, 56
2026/06/25 16:04:46.704, 0 %, 0 %, 3575 MiB, 56
2026/06/25 16:04:46.807, 0 %, 0 %, 3575 MiB, 56
2026/06/25 16:04:46.908, 0 %, 0 %, 3575 MiB, 56
2026/06/25 16:04:47.011, 0 %, 0 %, 3575 MiB, 56
2026/06/25 16:04:47.113, 0 %, 0 %, 3575 MiB, 56
2026/06/25 16:04:47.215, 0 %, 0 %, 3575 MiB, 56
2026/06/25 16:04:47.317, 0 %, 0 %, 3575 MiB, 56
2026/06/25 16:04:47.418, 0 %, 0 %, 3575 MiB, 56
2026/06/25 16:04:47.520, 0 %, 0 %, 3575 MiB, 56
2026/06/25 16:04:47.622, 0 %, 0 %, 3575 MiB, 56
2026/06/25 16:04:47.725, 0 %, 0 %, 3575 MiB, 55
2026/06/25 16:04:47.827, 0 %, 0 %, 3575 MiB, 55
2026/06/25 16:04:47.929, 0 %, 0 %, 3575 MiB, 55
2026/06/25 16:04:48.031, 0 %, 0 %, 3575 MiB, 55
2026/06/25 16:04:48.133, 0 %, 0 %, 3575 MiB, 55
2026/06/25 16:04:48.234, 0 %, 0 %, 3575 MiB, 55
2026/06/25 16:04:48.337, 0 %, 0 %, 3575 MiB, 55
2026/06/25 16:04:48.438, 0 %, 0 %, 3575 MiB, 55
2026/06/25 16:04:48.541, 0 %, 0 %, 3575 MiB, 55
2026/06/25 16:04:48.643, 0 %, 0 %, 3575 MiB, 55
2026/06/25 16:04:48.747, 0 %, 0 %, 3575 MiB, 54
2026/06/25 16:04:48.850, 0 %, 0 %, 3575 MiB, 54
2026/06/25 16:04:48.952, 0 %, 0 %, 3575 MiB, 54
2026/06/25 16:04:49.053, 0 %, 0 %, 3575 MiB, 54
2026/06/25 16:04:49.156, 0 %, 0 %, 3575 MiB, 54
2026/06/25 16:04:49.258, 0 %, 0 %, 3575 MiB, 54
2026/06/25 16:04:49.360, 0 %, 0 %, 3575 MiB, 54
2026/06/25 16:04:49.462, 0 %, 0 %, 3575 MiB, 54
2026/06/25 16:04:49.564, 0 %, 0 %, 3575 MiB, 54
2026/06/25 16:04:49.667, 0 %, 0 %, 3575 MiB, 54
